theta_deg,wavelength_nm,reflectance
0.0,1300.0,1.00123
0.0,1312.5,1.00015
0.0,1325.0,0.99637
0.0,1337.5,0.99712
0.0,1350.0,0.99467
0.0,1362.5,1.00885
0.0,1375.0,0.99903
0.0,1387.5,1.00577
0.0,1400.0,0.99852
0.0,1412.5,0.99679
0.0,1425.0,1.00657
0.0,1437.5,0.99463
0.0,1450.0,0.99907
0.0,1462.5,0.99096
0.0,1475.0,0.98046
0.0,1487.5,0.96593
0.0,1500.0,0.93787
0.0,1512.5,0.90735
0.0,1525.0,0.8657
0.0,1537.5,0.79894
0.0,1550.0,0.72707
0.0,1562.5,0.64252
0.0,1575.0,0.55881
0.0,1587.5,0.47937
0.0,1600.0,0.41808
0.0,1612.5,0.3904
0.0,1625.0,0.38484
0.0,1637.5,0.40592
0.0,1650.0,0.47204
0.0,1662.5,0.5419
0.0,1675.0,0.6237
0.0,1687.5,0.70814
0.0,1700.0,0.79263
0.0,1712.5,0.8501
0.0,1725.0,0.90509
0.0,1737.5,0.93201
0.0,1750.0,0.95999
0.0,1762.5,0.98162
0.0,1775.0,0.98598
0.0,1787.5,0.99388
0.0,1800.0,1.00087
5.0,1300.0,0.99686
5.0,1312.5,1.00483
5.0,1325.0,1.00173
5.0,1337.5,0.99892
5.0,1350.0,1.00007
5.0,1362.5,1.0064
5.0,1375.0,0.99872
5.0,1387.5,
5.0,1400.0,1.0017
5.0,1412.5,1.00819
5.0,1425.0,1.00104
5.0,1437.5,0.99102
5.0,1450.0,0.99066
5.0,1462.5,0.98063
5.0,1475.0,0.96607
5.0,1487.5,0.9442
5.0,1500.0,0.90393
5.0,1512.5,0.87198
5.0,1525.0,0.8088
5.0,1537.5,0.74575
5.0,1550.0,0.65938
5.0,1562.5,0.58684
5.0,1575.0,0.51352
5.0,1587.5,0.44101
5.0,1600.0,0.4002
5.0,1612.5,0.3966
5.0,1625.0,0.41539
5.0,1637.5,0.45943
5.0,1650.0,0.51875
5.0,1662.5,0.5964
5.0,1675.0,0.66974
5.0,1687.5,0.74328
5.0,1700.0,0.8176
5.0,1712.5,0.86536
5.0,1725.0,0.90932
5.0,1737.5,0.95063
5.0,1750.0,0.96311
5.0,1762.5,0.9794
5.0,1775.0,0.98824
5.0,1787.5,0.99074
5.0,1800.0,0.989
10.0,1300.0,1.00153
10.0,1312.5,1.00616
10.0,1325.0,1.00408
10.0,1337.5,0.99288
10.0,1350.0,0.99599
10.0,1362.5,0.99835
10.0,1375.0,0.99932
10.0,1387.5,0.9948
10.0,1400.0,0.99634
10.0,1412.5,0.99492
10.0,1425.0,0.9915
10.0,1437.5,0.99272
10.0,1450.0,0.98
10.0,1462.5,0.95698
10.0,1475.0,0.94166
10.0,1487.5,0.92287
10.0,1500.0,0.87366
10.0,1512.5,0.82539
10.0,1525.0,0.76311
10.0,1537.5,0.68778
10.0,1550.0,0.61424
10.0,1562.5,0.54234
10.0,1575.0,0.49146
10.0,1587.5,0.4408
10.0,1600.0,0.42069
10.0,1612.5,0.42823
10.0,1625.0,0.4469
10.0,1637.5,0.51053
10.0,1650.0,0.57316
10.0,1662.5,0.64228
10.0,1675.0,0.71395
10.0,1687.5,0.7841
10.0,1700.0,0.84506
10.0,1712.5,0.88211
10.0,1725.0,0.93114
10.0,1737.5,0.95876
10.0,1750.0,
10.0,1762.5,0.9843
10.0,1775.0,0.98781
10.0,1787.5,0.99852
10.0,1800.0,0.99426
15.0,1300.0,0.99594
15.0,1312.5,1.00262
15.0,1325.0,0.99569
15.0,1337.5,0.99277
15.0,1350.0,0.99909
15.0,1362.5,1.00803
15.0,1375.0,1.0012
15.0,1387.5,0.99866
15.0,1400.0,0.99688
15.0,1412.5,
15.0,1425.0,0.98695
15.0,1437.5,0.97557
15.0,1450.0,0.96838
15.0,1462.5,0.94825
15.0,1475.0,0.9168
15.0,1487.5,0.87286
15.0,1500.0,0.83003
15.0,1512.5,0.776
15.0,1525.0,0.71056
15.0,1537.5,0.6407
15.0,1550.0,
15.0,1562.5,0.51238
15.0,1575.0,0.47188
15.0,1587.5,0.44726
15.0,1600.0,0.44141
15.0,1612.5,0.46434
15.0,1625.0,0.49876
15.0,1637.5,0.55001
15.0,1650.0,0.61379
15.0,1662.5,0.69052
15.0,1675.0,0.74306
15.0,1687.5,0.81404
15.0,1700.0,0.85921
15.0,1712.5,0.91001
15.0,1725.0,0.944
15.0,1737.5,0.95875
15.0,1750.0,0.98004
15.0,1762.5,0.98726
15.0,1775.0,0.99877
15.0,1787.5,0.99373
15.0,1800.0,0.99776
20.0,1300.0,0.99827
20.0,1312.5,1.00246
20.0,1325.0,1.00553
20.0,1337.5,0.99793
20.0,1350.0,1.01103
20.0,1362.5,1.00687
20.0,1375.0,1.00208
20.0,1387.5,0.99811
20.0,1400.0,0.98916
20.0,1412.5,0.98077
20.0,1425.0,0.97947
20.0,1437.5,0.96285
20.0,1450.0,0.93733
20.0,1462.5,0.92238
20.0,1475.0,0.89179
20.0,1487.5,0.84388
20.0,1500.0,0.78841
20.0,1512.5,
20.0,1525.0,0.66496
20.0,1537.5,0.60439
20.0,1550.0,0.54695
20.0,1562.5,0.49976
