x_um,y_um,intensity_au
-5.0,-4.0,1.6273549970934927e-06
-4.75,-4.0,2.692773485928837e-06
-4.5,-4.0,4.34211238485452e-06
-4.25,-4.0,6.823167209251747e-06
-4.0,-4.0,1.0448517767029716e-05
-3.75,-4.0,1.5592188399663948e-05
-3.5,-4.0,2.2674785048899206e-05
-3.25,-4.0,3.213386765565062e-05
-3.0,-4.0,4.4377878780158335e-05
-2.75,-4.0,5.972467501505805e-05
-2.5,-4.0,7.83293942304799e-05
-2.25,-4.0,0.00010011046010964735
-2.0,-4.0,0.00012468604911550294
-1.75,-4.0,0.00015133521117740635
-1.5,-4.0,0.00017899703094146008
-1.25,-4.0,0.00020631717586089662
-1.0,-4.0,0.00023174408515451396
-0.75,-4.0,0.0002536679792387498
-0.5,-4.0,0.0002705866444723707
-0.25,-4.0,0.0002812747722360278
0.0,-4.0,0.00028493048887656886
0.25,-4.0,0.0002812747722360278
0.5,-4.0,0.0002705866444723707
0.75,-4.0,0.0002536679792387498
1.0,-4.0,0.00023174408515451396
1.25,-4.0,0.00020631717586089662
1.5,-4.0,0.00017899703094146008
1.75,-4.0,0.00015133521117740635
2.0,-4.0,0.00012468604911550294
2.25,-4.0,0.00010011046010964735
2.5,-4.0,7.83293942304799e-05
2.75,-4.0,5.972467501505805e-05
3.0,-4.0,4.4377878780158335e-05
3.25,-4.0,3.213386765565062e-05
3.5,-4.0,2.2674785048899206e-05
3.75,-4.0,1.5592188399663948e-05
4.0,-4.0,1.0448517767029716e-05
4.25,-4.0,6.823167209251747e-06
4.5,-4.0,4.34211238485452e-06
4.75,-4.0,2.692773485928837e-06
5.0,-4.0,1.6273549970934927e-06
-5.0,-3.75,4.373118647116596e-06
-4.75,-3.75,7.236170328421602e-06
-4.5,-3.75,1.1668365336387821e-05
-4.25,-3.75,1.833559352966369e-05
-4.0,-3.75,2.807783671253976e-05
-3.75,-3.75,4.1900193849349836e-05
-3.5,-3.75,6.09329405653983e-05
-3.25,-3.75,8.635191221330629e-05
-3.0,-3.75,0.00011925469830467535
-2.75,-3.75,0.00016049546071251217
-2.5,-3.75,0.00021049109452974467
-2.25,-3.75,0.0002690223833514116
-2.0,-3.75,0.00033506326978204845
-1.75,-3.75,0.00040667637678764126
-1.5,-3.75,0.00048101075376096015
-1.25,-3.75,0.0005544269631329163
-1.0,-3.75,0.0006227555646790195
-0.75,-3.75,0.0006816706693786186
-0.5,-3.75,0.0007271354453799316
-0.25,-3.75,0.0007558571753709246
0.0,-3.75,0.0007656810199763595
0.25,-3.75,0.0007558571753709246
0.5,-3.75,0.0007271354453799316
0.75,-3.75,0.0006816706693786186
1.0,-3.75,0.0006227555646790195
1.25,-3.75,0.0005544269631329163
1.5,-3.75,0.00048101075376096015
1.75,-3.75,0.00040667637678764126
2.0,-3.75,0.00033506326978204845
2.25,-3.75,0.0002690223833514116
2.5,-3.75,0.00021049109452974467
2.75,-3.75,0.00016049546071251217
3.0,-3.75,0.00011925469830467535
3.25,-3.75,8.635191221330629e-05
3.5,-3.75,6.09329405653983e-05
3.75,-3.75,4.1900193849349836e-05
4.0,-3.75,2.807783671253976e-05
4.25,-3.75,1.833559352966369e-05
4.5,-3.75,1.1668365336387821e-05
4.75,-3.75,7.236170328421602e-06
5.0,-3.75,4.373118647116596e-06
-5.0,-3.5,1.1025616098987811e-05
-4.75,-3.5,1.8244013599006283e-05
-4.5,-3.5,2.9418574496389326e-05
-4.25,-3.5,4.622815695578055e-05
-4.0,-3.5,7.079054410898435e-05
-3.75,-3.5,0.00010563981660106657
-3.5,-3.5,0.0001536256536052338
-3.25,-3.5,0.0002177126006185918
-3.0,-3.5,0.00030066792776704387
-2.75,-3.5,0.0004046451693262645
-2.5,-3.5,0.0005306954116305363
-2.25,-3.5,0.0006782659607973612
-2.0,-3.5,0.0008447698952609627
-1.75,-3.5,0.001025322651591964
-1.5,-3.5,0.0012127363418209364
-1.25,-3.5,0.0013978351249312037
-1.0,-3.5,0.0015701069039566293
-0.75,-3.5,0.0017186451393136207
-0.5,-3.5,0.0018332720695816726
-0.25,-3.5,0.001905686013527207
0.0,-3.5,0.0019304541362277093
0.25,-3.5,0.001905686013527207
0.5,-3.5,0.0018332720695816726
0.75,-3.5,0.0017186451393136207
1.0,-3.5,0.0015701069039566293
1.25,-3.5,0.0013978351249312037
1.5,-3.5,0.0012127363418209364
1.75,-3.5,0.001025322651591964
2.0,-3.5,0.0008447698952609627
2.25,-3.5,0.0006782659607973612
2.5,-3.5,0.0005306954116305363
2.75,-3.5,0.0004046451693262645
3.0,-3.5,0.00030066792776704387
3.25,-3.5,0.0002177126006185918
3.5,-3.5,0.0001536256536052338
3.75,-3.5,0.00010563981660106657
4.0,-3.5,7.079054410898435e-05
4.25,-3.5,4.622815695578055e-05
4.5,-3.5,2.9418574496389326e-05
4.75,-3.5,1.8244013599006283e-05
5.0,-3.5,1.1025616098987811e-05
-5.0,-3.25,2.608057252650819e-05
-4.75,-3.25,4.315534983003495e-05
-4.5,-3.25,6.95882442206564e-05
-4.25,-3.25,0.00010935051514833011
-4.0,-3.25,0.00016745167827808156
-3.75,-3.25,0.00024988598131981695
-3.5,-3.25,0.00036339420534978986
-3.25,-3.25,0.0005149888422914663
-3.0,-3.25,0.0007112157385239619
-2.75,-3.25,0.0009571689773493616
-2.5,-3.25,0.0012553348536945654
-2.25,-3.25,0.0016044059963652556
-2.0,-3.25,0.0019982631649570013
-1.75,-3.25,0.0024253521560913768
-1.5,-3.25,0.002868670361314029
-1.25,-3.25,0.003306512763419695
-1.0,-3.25,0.0037140134950618634
-0.75,-3.25,0.004065373653569758
-0.5,-3.25,0.0043365182264903926
-0.25,-3.25,0.004507809980170751
0.0,-3.25,0.004566397800990596
0.25,-3.25,0.004507809980170751
0.5,-3.25,0.0043365182264903926
0.75,-3.25,0.004065373653569758
1.0,-3.25,0.0037140134950618634
1.25,-3.25,0.003306512763419695
1.5,-3.25,0.002868670361314029
1.75,-3.25,0.0024253521560913768
2.0,-3.25,0.0019982631649570013
2.25,-3.25,0.0016044059963652556
2.5,-3.25,0.0012553348536945654
2.75,-3.25,0.0009571689773493616
3.0,-3.25,0.0007112157385239619
3.25,-3.25,0.0005149888422914663
3.5,-3.25,0.00036339420534978986
3.75,-3.25,0.00024988598131981695
4.0,-3.25,0.00016745167827808156
4.25,-3.25,0.00010935051514833011
4.5,-3.25,6.95882442206564e-05
4.75,-3.25,4.315534983003495e-05
5.0,-3.25,2.608057252650819e-05
-5.0,-3.0,5.788073307271374e-05
-4.75,-3.0,9.577486390043876e-05
-4.5,-3.0,0.00015443750648651532
-4.25,-3.0,0.00024268209496671025
-4.0,-3.0,0.0003716262702109183
-3.75,-3.0,0.0005545730933891401
-3.5,-3.0,0.0008064824105622587
-3.25,-3.0,0.001142917076908554
-3.0,-3.0,0.001578404319030107
-2.75,-3.0,0.002124249459137865
-2.5,-3.0,0.002785970342856484
-2.25,-3.0,0.003560665515356001
-2.0,-3.0,0.0044347545186117065
-1.75,-3.0,0.005382595056583713
-1.5,-3.0,0.0063664531630990735
-1.25,-3.0,0.007338158794884409
-1.0,-3.0,0.008242527019590473
-0.75,-3.0,0.009022302215334793
-0.5,-3.0,0.009624054597625591
-0.25,-3.0,0.010004203164619387
0.0,-3.0,0.010134227381485745
0.25,-3.0,0.010004203164619387
0.5,-3.0,0.009624054597625591
0.75,-3.0,0.009022302215334793
1.0,-3.0,0.008242527019590473
1.25,-3.0,0.007338158794884409
1.5,-3.0,0.0063664531630990735
1.75,-3.0,0.005382595056583713
2.0,-3.0,0.0044347545186117065
2.25,-3.0,0.003560665515356001
2.5,-3.0,0.002785970342856484
2.75,-3.0,0.002124249459137865
3.0,-3.0,0.001578404319030107
3.25,-3.0,0.001142917076908554
3.5,-3.0,0.0008064824105622587
3.75,-3.0,0.0005545730933891401
4.0,-3.0,0.0003716262702109183
4.25,-3.0,0.00024268209496671025
4.5,-3.0,0.00015443750648651532
4.75,-3.0,9.577486390043876e-05
5.0,-3.0,5.788073307271374e-05
-5.0,-2.75,0.00012051845978315014
-4.75,-2.75,0.00019942109352210575
-4.5,-2.75,0.00032156763445139277
-4.25,-2.75,0.0005053092929143306
-4.0,-2.75,0.0007737950665640511
-3.75,-2.75,0.0011547244048977724
-3.5,-2.75,0.0016792464919381913
-3.25,-2.75,0.002379766088930444
-3.0,-2.75,0.0032865315856591536
-2.75,-2.75,0.004423082767263263
-2.5,-2.75,0.005800908815387529
-2.25,-2.75,0.007413968361018919
-2.0,-2.75,0.009233984362775957
-1.75,-2.75,0.01120756478742109
-1.5,-2.75,0.013256140493838595
-1.25,-2.75,0.015279412485889253
-1.0,-2.75,0.01716247546267414
-0.75,-2.75,0.018786112562262175
-0.5,-2.75,0.020039073028284955
-0.25,-2.75,0.020830613103033285
0.0,-2.75,0.021101347724371926
0.25,-2.75,0.020830613103033285
0.5,-2.75,0.020039073028284955
0.75,-2.75,0.018786112562262175
1.0,-2.75,0.01716247546267414
1.25,-2.75,0.015279412485889253
1.5,-2.75,0.013256140493838595
1.75,-2.75,0.01120756478742109
2.0,-2.75,0.009233984362775957
2.25,-2.75,0.007413968361018919
2.5,-2.75,0.005800908815387529
2.75,-2.75,0.004423082767263263
3.0,-2.75,0.0032865315856591536
3.25,-2.75,0.002379766088930444
3.5,-2.75,0.0016792464919381913
3.75,-2.75,0.0011547244048977724
4.0,-2.75,0.0007737950665640511
