wavelength_nm,responsivity_a_w
250.0,0.143682
269.0,0.152879
289.4,0.161755
311.3,0.176979
334.9,0.185974
360.3,0.203504
387.6,0.218667
417.0,0.230943
448.7,0.255688
482.7,0.264783
519.3,0.284202
558.7,0.312448
601.0,0.336132
646.6,0.374237
695.6,0.388697
748.4,0.435136
805.1,0.453583
866.2,0.485113
931.9,0.532065
1002.6,0.565572
1078.6,0.612645
1160.4,0.646245
1248.4,0.707666
1343.1,0.762045
1444.9,0.7976
1554.5,0.873575
1672.4,0.908068
1799.2,1.018398
1935.7,1.071243
2082.5,1.1732
2240.4,1.25888
2410.3,1.407158
2593.1,1.423882
2789.7,1.516688
3001.3,1.701954
3228.9,1.815301
3473.7,2.103078
3737.2,2.11184
4020.6,2.242732
4325.5,2.294302
4653.5,2.64211
5006.4,2.745482
5386.1,
5794.5,
6234.0,3.563511
6706.7,3.930542
7215.4,4.228234
7762.5,4.515579
8351.2,4.72883
8984.5,5.053188
9665.9,5.622905
10398.9,5.98498
11187.5,6.271389
12035.9,6.773899
12948.7,7.153372
13930.7,7.75219
14987.1,8.500298
16123.7,8.831793
17346.4,9.616411
18661.9,10.421196
20077.1,11.173039
21599.7,11.944114
23237.7,13.228993
25000.0,13.74542
