drive_current_mA,forward_voltage_V,optical_power_mW
0.0,0.901,0.0037
1.0,0.9039,0.0045
2.0,0.9069,0.0
3.0,0.9102,0.0034
4.0,0.9137,0.0
5.0,0.9176,0.0466
6.0,0.922,0.0212
7.0,0.927,0.0456
8.0,0.9329,0.0282
9.0,0.9397,0.0279
10.0,0.9478,0.0632
11.0,0.9572,0.0354
12.0,0.9681,0.0609
13.0,0.9806,0.1187
14.0,0.9945,0.229
15.0,1.0097,0.3449
16.0,1.0262,0.4457
17.0,1.0437,0.5724
18.0,1.062,0.7056
19.0,1.0809,0.8057
20.0,1.1004,0.9287
21.0,1.1202,1.0395
22.0,1.1403,1.1573
23.0,1.1606,1.2651
24.0,1.181,1.3752
25.0,1.2016,1.509
26.0,1.2222,1.6168
27.0,1.2429,1.7109
28.0,1.2636,1.859
29.0,1.2844,1.9606
30.0,1.3051,2.0692
31.0,1.3259,2.1853
32.0,1.3467,2.3237
33.0,1.3676,2.4175
34.0,1.3884,2.5459
35.0,1.4092,2.6309
36.0,1.43,2.7538
37.0,1.4508,2.8847
38.0,1.4717,2.983
39.0,1.4925,3.1047
40.0,1.5133,3.2314
41.0,1.5342,3.3183
42.0,1.555,3.4493
43.0,1.5758,3.5466
44.0,1.5967,3.6444
45.0,1.6175,3.7535
46.0,1.6383,3.8775
47.0,1.6592,3.9596
48.0,1.68,4.0666
49.0,1.7008,4.1776
50.0,1.7217,4.302
51.0,1.7425,4.388
52.0,1.7633,4.4692
53.0,1.7842,4.5848
54.0,1.805,4.6826
55.0,1.8258,4.7827
56.0,1.8467,4.8836
57.0,1.8675,4.9597
58.0,1.8883,5.0934
59.0,1.9092,5.173
60.0,1.93,5.2859
