rotator_angle_deg,detected_power_W
0.0,1.0
3.0,0.991409
6.0,0.968987
9.0,0.93371
12.0,0.887113
15.0,0.831219
18.0,0.768452
21.0,0.701528
24.0,0.633336
27.0,0.566813
30.0,0.504813
33.0,0.449983
36.0,0.404652
39.0,0.370725
42.0,0.349603
45.0,0.342125
48.0,0.348532
51.0,0.368456
54.0,0.400944
57.0,0.444493
60.0,0.497125
63.0,0.556471
66.0,0.619874
69.0,0.684512
72.0,0.747515
75.0,0.806094
78.0,0.857661
81.0,0.899944
84.0,0.931082
87.0,0.949707
90.0,0.955
93.0,0.946728
96.0,0.925251
99.0,0.891503
102.0,0.846952
105.0,0.793531
108.0,0.733557
111.0,0.669624
114.0,0.60449
117.0,0.540957
120.0,0.48175
123.0,0.429394
126.0,0.386109
129.0,0.35371
132.0,0.333533
135.0,0.326375
138.0,0.332462
141.0,0.351442
144.0,0.3824
147.0,0.423904
150.0,0.474063
153.0,0.530615
156.0,0.591028
159.0,0.652608
162.0,0.712621
165.0,0.768406
168.0,0.8175
171.0,0.857737
174.0,0.887347
177.0,0.905026
180.0,0.91
183.0,0.902048
186.0,0.881515
189.0,0.849296
192.0,0.806791
195.0,0.755844
198.0,0.698663
201.0,0.63772
204.0,0.575643
207.0,0.515102
210.0,0.458687
213.0,0.408805
216.0,0.367566
219.0,0.336696
222.0,0.317464
225.0,0.310625
228.0,0.316392
231.0,0.334427
234.0,0.363857
237.0,0.403315
240.0,0.451
243.0,0.504759
246.0,0.562182
249.0,0.620705
252.0,0.677726
255.0,0.730719
258.0,0.777339
261.0,0.815531
264.0,0.843611
267.0,0.860346
270.0,0.865
273.0,0.857367
276.0,0.83778
279.0,0.807089
282.0,0.76663
285.0,0.718156
288.0,0.663769
291.0,0.605816
294.0,0.546797
297.0,0.489246
300.0,0.435625
303.0,0.388216
306.0,0.349023
309.0,0.319682
312.0,0.301394
315.0,0.294875
318.0,0.300323
321.0,0.317413
324.0,0.345314
327.0,0.382726
330.0,0.427937
333.0,0.478904
336.0,0.533336
339.0,0.588801
342.0,0.642832
345.0,0.693031
348.0,0.737178
351.0,0.773324
354.0,0.799876
357.0,0.815666
360.0,0.82
363.0,0.812687
366.0,0.794044
369.0,0.764882
372.0,0.726469
375.0,0.680469
378.0,0.628874
381.0,0.573913
384.0,0.517951
387.0,0.46339
390.0,0.412562
393.0,0.367627
396.0,0.33048
399.0,0.302667
402.0,0.285325
405.0,0.279125
408.0,0.284253
411.0,0.300399
414.0,0.326771
417.0,0.362137
420.0,0.404875
423.0,0.453048
426.0,0.504489
429.0,0.556897
432.0,0.607938
435.0,0.655344
438.0,0.697017
441.0,0.731117
444.0,0.75614
447.0,0.770985
450.0,0.775
453.0,0.768007
456.0,0.750309
459.0,0.722675
462.0,0.686307
465.0,0.642781
468.0,0.59398
471.0,0.542009
474.0,0.489105
477.0,0.437535
480.0,0.3895
483.0,0.347038
486.0,0.311937
489.0,0.285653
492.0,0.269255
495.0,0.263375
498.0,0.268184
501.0,0.283384
504.0,0.308228
507.0,0.341548
510.0,0.381813
513.0,0.427192
516.0,0.475643
519.0,0.524994
522.0,0.573043
525.0,0.617656
528.0,0.656856
531.0,0.68891
534.0,0.712404
537.0,0.726305
540.0,0.73
543.0,0.723326
546.0,0.706573
549.0,0.680469
552.0,0.646146
555.0,0.605094
558.0,0.559085
561.0,0.510105
564.0,0.460258
567.0,0.411679
570.0,0.366438
573.0,0.326449
576.0,0.293393
579.0,0.268638
582.0,0.253185
585.0,0.247625
588.0,0.252114
591.0,0.26637
594.0,0.289685
597.0,0.320959
600.0,0.35875
603.0,0.401337
606.0,0.446797
609.0,0.49309
612.0,0.538149
615.0,0.579969
618.0,0.616695
621.0,0.646703
624.0,0.668669
627.0,0.681624
630.0,0.685
633.0,0.678646
636.0,0.662837
639.0,0.638262
642.0,0.605985
645.0,0.567406
648.0,0.524191
651.0,0.478201
654.0,0.431412
657.0,0.385823
660.0,0.343375
663.0,0.305861
666.0,0.27485
669.0,0.251624
672.0,0.237116
675.0,0.231875
678.0,0.236044
681.0,0.249355
684.0,0.271142
687.0,0.30037
690.0,0.335688
693.0,0.375481
696.0,0.41795
699.0,0.461186
702.0,0.503254
705.0,0.542281
708.0,0.576534
711.0,0.604496
714.0,0.624933
717.0,0.636944
720.0,0.64
