delay_ns,photoluminescence_au
0.0,1008715.3505
0.5,955657.1447
1.0,922584.3168
1.5,853697.9777
2.0,798093.1886
2.5,781535.0681
3.0,709134.0156
3.5,688290.4238
4.0,629820.2434
4.5,605219.2684
5.0,563542.7324
5.5,544786.881
6.0,509986.2679
6.5,495480.5138
7.0,451661.9888
7.5,428196.2106
8.0,400729.0778
8.5,389882.8341
9.0,356935.9107
9.5,361623.3609
10.0,321276.0464
10.5,303312.506
11.0,293374.9838
11.5,274255.5806
12.0,257375.8944
12.5,256210.1469
13.0,239096.1322
13.5,224746.6434
14.0,215107.5584
14.5,200066.8828
15.0,184887.1324
15.5,179731.4216
16.0,165339.8828
16.5,156627.6023
17.0,147976.2822
17.5,141219.861
18.0,136277.6826
18.5,125667.3557
19.0,120970.4299
19.5,115278.1606
20.0,110318.5561
20.5,102272.4269
21.0,98250.0452
21.5,89176.9068
22.0,87161.3945
22.5,84483.8875
23.0,75615.072
23.5,72963.6181
24.0,70126.5551
24.5,68661.4291
25.0,61666.6815
25.5,57566.8833
26.0,55484.3568
26.5,51797.2588
27.0,49782.0519
27.5,45558.5714
28.0,44359.0985
28.5,42577.2854
29.0,39992.0881
29.5,38738.7142
30.0,36627.1942
30.5,33604.0003
31.0,32133.3297
31.5,31164.7732
32.0,28660.2207
32.5,27014.2428
33.0,27078.4686
33.5,24773.5059
34.0,22278.02
34.5,21934.8032
35.0,21167.2272
35.5,19262.0191
36.0,18072.7625
36.5,17481.9624
37.0,15897.6645
37.5,15222.7974
38.0,14485.0623
38.5,13810.6842
39.0,12929.7057
39.5,12387.4688
40.0,12007.8384
40.5,11081.0377
41.0,10379.0441
41.5,9715.6906
42.0,9545.7938
42.5,8820.0374
43.0,8570.8932
43.5,8111.5712
44.0,7604.9537
44.5,7278.7225
45.0,6823.6341
45.5,6185.333
46.0,6210.646
46.5,5707.8555
47.0,5423.9256
47.5,4988.265
48.0,4908.9596
48.5,4603.3438
49.0,4388.4993
49.5,4158.2078
50.0,3845.5057
50.5,3696.5116
51.0,3441.4192
51.5,3373.4809
52.0,3125.046
52.5,2881.8999
53.0,2829.7946
53.5,2552.5893
54.0,2465.1151
54.5,2328.4359
55.0,2232.0283
55.5,2116.7468
56.0,1994.6263
56.5,1889.2231
57.0,1803.2548
57.5,1726.4367
58.0,1580.091
58.5,1528.1154
59.0,1385.1332
59.5,1356.4777
60.0,1274.4084
60.5,1241.1319
61.0,1140.1946
61.5,1126.6646
62.0,1021.8909
62.5,950.0752
63.0,902.7261
63.5,850.2504
64.0,817.2597
64.5,779.7189
65.0,730.1825
65.5,684.2651
66.0,651.7367
66.5,624.9089
67.0,574.1269
67.5,554.2944
68.0,536.6672
68.5,498.0556
69.0,467.9964
69.5,444.843
70.0,432.172
70.5,403.5323
71.0,386.5605
71.5,355.515
72.0,340.6669
72.5,322.0045
73.0,296.8241
73.5,288.124
74.0,276.9916
74.5,248.1562
75.0,246.7282
75.5,235.4663
76.0,214.6679
76.5,211.0318
77.0,201.0881
77.5,191.5836
78.0,178.7122
78.5,171.1297
79.0,160.1841
79.5,150.1253
80.0,144.6425
