wavelength_nm,response_A
400.0,0.024446
405.0,0.039181
410.0,0.045714
415.0,0.048775
420.0,0.043337
425.0,0.031248
430.0,0.037075
435.0,0.039888
440.0,0.038894
445.0,0.039437
450.0,0.034212
455.0,0.035426
460.0,0.028328
465.0,0.047166
470.0,0.037999
475.0,0.044012
480.0,0.04221
485.0,0.038983
490.0,0.036616
495.0,0.0413
500.0,0.03742
505.0,0.037703
510.0,0.041426
515.0,0.06298
520.0,0.17874
525.0,0.545372
530.0,0.988504
535.0,0.921412
540.0,0.440116
545.0,0.133152
550.0,0.038238
555.0,0.049597
560.0,0.047058
565.0,0.048966
570.0,0.033725
575.0,0.041762
580.0,0.044459
585.0,0.029187
590.0,0.038524
595.0,0.042087
600.0,0.037747
605.0,0.037341
610.0,0.039155
615.0,0.033982
620.0,0.03186
625.0,0.041061
630.0,0.040216
635.0,0.032117
640.0,0.034928
645.0,0.03762
650.0,0.030159
655.0,0.048488
660.0,0.043651
665.0,0.045258
670.0,0.033935
675.0,0.046716
680.0,0.036762
685.0,0.031141
690.0,0.046009
695.0,0.031249
700.0,0.037429
1200.0,0.179456
1205.0,0.193106
1210.0,0.214842
1215.0,0.225019
1220.0,0.222869
1225.0,0.244029
1230.0,0.261912
1235.0,0.283903
1240.0,0.297759
1245.0,0.317861
1250.0,0.323893
1255.0,0.362113
1260.0,0.37041
1265.0,0.385039
1270.0,0.407852
1275.0,0.429356
1280.0,0.444747
1285.0,0.454595
1290.0,0.487254
1295.0,0.493775
1300.0,0.506999
1305.0,0.525004
1310.0,0.538402
1315.0,0.552399
1320.0,0.570753
1325.0,0.556877
1330.0,0.575533
1335.0,0.578125
1340.0,0.585734
1345.0,0.591777
1350.0,0.593336
1355.0,0.582993
1360.0,0.579659
1365.0,0.585281
1370.0,0.579001
1375.0,0.566925
1380.0,0.564556
1385.0,0.544905
1390.0,0.532395
1395.0,0.522518
1400.0,0.50366
1405.0,0.488287
1410.0,0.481321
1415.0,0.475691
1420.0,0.448664
1425.0,0.438462
1430.0,0.411147
1435.0,0.392443
1440.0,0.36478
1445.0,0.362877
1450.0,0.340841
1455.0,0.328139
1460.0,0.310074
1465.0,0.285078
1470.0,0.271125
1475.0,0.244242
1480.0,0.235758
1485.0,0.213351
1490.0,0.200472
1495.0,0.194623
1500.0,0.175939
