wavelength_nm,S0,S1,S2,S3
1400.0,1.087874,0.269605,0.143351,0.007026
1410.0,1.131457,0.293321,0.161255,0.011524
1420.0,1.191269,0.32788,0.186262,0.018898
1430.0,1.270671,0.376871,0.221109,0.031014
1440.0,1.372541,0.444463,0.269177,0.05084
1450.0,1.498704,0.534995,0.334302,0.082836
1460.0,1.649305,0.652109,0.420255,0.133161
1470.0,1.822225,0.797387,0.529782,0.209317
1480.0,2.012671,0.968704,0.663286,0.318757
1490.0,2.213061,1.158888,0.817506,0.466174
1500.0,2.413297,1.355474,0.984809,0.649849
1510.0,2.601475,1.542139,1.153668,0.858363
1520.0,2.764994,1.701601,1.310409,1.06963
1530.0,2.891919,1.818884,1.44163,1.253802
1540.0,2.972414,1.883621,1.536244,1.38003
1550.0,3.0,1.89073,1.586511,1.425
1560.0,2.972414,1.839992,1.588239,1.38003
1570.0,2.891919,1.735574,1.540915,1.253802
1580.0,2.764994,1.585981,1.448199,1.06963
1590.0,2.601475,1.403931,1.318379,0.858363
1600.0,2.413297,1.205223,1.163871,0.649849
1610.0,2.213061,1.006325,0.999324,0.466174
1620.0,2.012671,0.821423,0.838809,0.318757
1630.0,1.822225,0.660199,0.693277,0.209317
1640.0,1.649305,0.527108,0.569225,0.133161
1650.0,1.498704,0.422124,0.468816,0.082836
1660.0,1.372541,0.342267,0.390969,0.05084
1670.0,1.270671,0.283193,0.33275,0.031014
1680.0,1.191269,0.240368,0.290555,0.018898
1690.0,1.131457,0.209739,0.260863,0.011524
1700.0,1.087874,0.18799,0.240616,0.007026
